experiment_id,sample_name,filename,_,_,met_id,_,_,_,scan_type,_,precursor_formula,used_
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_179_EPI.txt,10,_,skm,_,179,_,EPI,.txt,C[13C]6H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_179_EPI.txt,10,_,skm,_,179,_,EPI,.txt,C[13C]6H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_180_EPI.txt,10,_,skm,_,180,_,EPI,.txt,[13C]7H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_Pool_2pg_3pg_185_EPI.txt,10,_,Pool_2pg_3pg,_,185,_,EPI,.txt,C3H6O7P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_Pool_2pg_3pg_186_EPI.txt,10,_,Pool_2pg_3pg,_,186,_,EPI,.txt,C2[13C]H6O7P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_Pool_2pg_3pg_187_EPI.txt,10,_,Pool_2pg_3pg,_,187,_,EPI,.txt,C[13C]2H6O7P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_Pool_2pg_3pg_188_EPI.txt,10,_,Pool_2pg_3pg,_,188,_,EPI,.txt,[13C]3H6O7P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_191_EPI.txt,10,_,icit,_,191,_,EPI,.txt,C6H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_192_EPI.txt,10,_,icit,_,192,_,EPI,.txt,C5[13C]H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_192_EPI.txt,10,_,icit,_,192,_,EPI,.txt,C5[13C]H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_193_EPI.txt,10,_,icit,_,193,_,EPI,.txt,C4[13C]2H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_193_EPI.txt,10,_,icit,_,193,_,EPI,.txt,C4[13C]2H7O7-,
