,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area
Component_Name,slope,slope,slope,slope,slope,intercept,intercept,intercept,intercept,intercept,correlation,correlation,correlation,correlation,correlation,lloq,lloq,lloq,lloq,lloq,uloq,uloq,uloq,uloq,uloq,points,points,points,points,points
trp-L.trp-L_1.Light,15.1771552943613,16.3349945666711,16.5910822735688,18.9845821182282,16.8444791603062,0.177442200187084,0.0240572186894815,0.10461130154945,-0.281627224145071,0.120822268788637,0.998612538654256,0.99929149446008,0.999439176137555,0.993214062552163,0.998167314843099,8e-06,0.008,0.02,0.008,8e-06,4.0,2.0,2.0,4.0,2.0,11,8,7,9,10
glyclt.glyclt_2.Light,4.45914922527104,0,0,0,4.13676702936474,-0.932884184561396,0,0,0,0.688683865906744,0.996979928604062,0,0,0,0.998240208218993,0.5,0,0,0,0.5,20.0,0,0,0,20.0,6,0,0,0,6
adn.adn_1.Light,2.67537806420771,2.41190925455778,3.28204785790765,3.03530435666746,2.8457794102195,0.00757233740948873,0.0199597425988511,-0.016172422191708,-0.193578173685736,0.00588615027872528,0.999972490831123,0.999958639680121,0.999961680915434,0.987759263759256,0.999886489258626,0.001,0.04,0.04,0.4,0.001,4.0,4.0,10.0,10.0,2.0,11,7,8,5,11
gdp.gdp_1.Light,3.72565092228276,0,0,0,3.50235649052276,-0.267978120220632,0,0,0,-0.523658832642619,0.991532537294806,0,0,0,0.999048030819662,0.2,0,0,0,0.2,4.0,0,0,0,8.0,5,0,0,0,6
udp.udp_2.Light,1.4918664680246,0,0,0,1.59596457689295,0.0694382064811315,0,0,0,0.322016933933072,0.999791121613065,0,0,0,0.996014016884723,0.08,0,0,0,0.08,4.0,0,0,0,4.0,6,0,0,0,6
itp.itp_1.Light,1.90603607163861,8.71924254639383,27.5584030042242,28.9807524642643,3.24659723248822,0.0459012735043029,0.38174505746506,0.00676280941093464,0.101066640125187,-0.0565128885992516,0.906111332792207,0.970541814008544,0.999789729273409,0.953747451085589,0.999030707188911,0.02,0.04,0.002,0.0008,0.02,0.8,0.8,0.08,0.08,2.0,5,5,4,7,6
thr-L.thr-L_1.Light,0.801974664244879,0.826516659233973,0.876414345477883,1.0344833623751,0.826496872461656,0.0389060927740761,0.0732112736952255,0.0261176032660184,0.00203743669940758,0.0353421174855194,0.999679637123319,0.998254930945815,0.999770755329063,0.995306025947309,0.999904517108269,0.016,0.064,0.064,0.064,0.016,16.0,6.4,32.0,3.2,32.0,10,7,9,6,11
cmp.cmp_3.Light,0,1.38137442058592,1.34646276273284,1.24802250135996,0,0,0.0222442642968039,0.00316464566375887,-0.0155556674807853,0,0,0.998620114101533,0.999734186806291,0.999609235933861,0,0,0.005,0.005,0.02,0,0,0.2,2.0,5.0,0,0,5,5,8,0
dcmp.dcmp_2.Light,22.2092797178352,0,0,0,22.5291036980134,0.119037165042931,0,0,0,-0.422628614139563,0.999690269543504,0,0,0,0.999237345161266,0.04,0,0,0,0.04,4.0,0,0,0,4.0,7,0,0,0,7
g1p.g1p_1.Light,3.05277949081354,3.13811169800657,0,3.58517720553513,3.92682462007255,0.128581820656584,0.202227037967248,0,-1.26819312474154,-0.0522844508009459,0.999627061310638,0.999047961480833,0,0.999467490051211,0.998436299558352,0.02,0.08,0,0.08,0.04,4.0,8.0,0,40.0,8.0,8,7,0,5,8
accoa.accoa_1.Light,0.24266625129356,0.271581697412763,0.165133375848119,0.241353254747722,0.238434805864348,-0.00055238556396109,-0.000619138102050108,-0.0010943726937149,0.00207801678856527,0.000841066060612418,0.999788595299117,0.998682571637474,0.998637399891811,0.995028836852122,0.998988682861955,0.002,0.04,0.08,0.02,0.002,4.0,4.0,8.0,4.0,4.0,11,7,7,8,11
asp-L.asp-L_1.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcdp.dcdp_1.Light,6.14656471527768,6.45148012017812,6.83738555103704,6.17548198787329,6.68453523347235,-0.566553029229875,0.0699733334213206,0.0320598812547888,-0.217439902773763,-0.356845593685736,0.9998332911362,0.999806759923111,0.999816640362036,0.999105217953352,0.999492285920066,0.4,0.01,0.02,0.1,0.4,10.0,10.0,2.0,4.0,10.0,5,10,6,6,5
