id,experiment_id,sample_name,sample_id,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_,comment_
16768,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,gam6p,gam6p.gam6p_1.Light,0.069476312,mM,t,
16769,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,gdp,gdp.gdp_1.Light,0.090685926,mM,t,
16770,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,gln-L,gln-L.gln-L_1.Light,1.044327003,mM,t,
16771,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,gmp,gmp.gmp_1.Light,0.047435368,mM,t,
16773,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,gthrd,gthrd.gthrd_1.Light,2.248438362,mM,t,
16774,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,gtp,gtp.gtp_1.Light,0.883720607,mM,t,
16775,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,gua,gua.gua_1.Light,0.001462691,mM,t,
16776,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,his-L,his-L.his-L_1.Light,0.026567759,mM,t,
16779,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,imp,imp.imp_1.Light,0.015251509,mM,t,
16780,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,ins,ins.ins_1.Light,0.001961063,mM,t,
16781,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,itp,itp.itp_1.Light,0.006963759,mM,t,
16783,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,met-L,met-L.met-L_1.Light,0.02167676,mM,t,
16784,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,mmal,mmal.mmal_1.Light,0.006796509,mM,t,
16785,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,nadh,nadh.nadh_1.Light,0.003299104,mM,t,
16786,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,nadp,nadp.nadp_1.Light,0.085194399,mM,t,
16787,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,nadph,nadph.nadph_1.Light,0.001708897,mM,t,
16789,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,oxa,oxa.oxa_1.Light,1.164251772,mM,t,
16790,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,phe-L,phe-L.phe-L_1.Light,0.034924057,mM,t,
16791,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,Pool_2pg_3pg,Pool_2pg_3pg.Pool_2pg_3pg_2.Light,0.436180338,mM,t,
16793,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,ru5p-D,ru5p-D.ru5p-D_1.Light,0.021570055,mM,t,
16794,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,s7p,s7p.s7p_1.Light,0.068877068,mM,t,
16795,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,ser-L,ser-L.ser-L_1.Light,0.159831557,mM,t,
17023,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo04EcoliGlcM9_Broth-1,glx,glx.glx_1.Light,1.377507877,mM,f,High % extracellular
17111,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Broth-2-10x,131206_0_OxicEvo04EcoliGlcM9_Broth-2,glx,glx.glx_1.Light,1.852438095,mM,f,High % extracellular
