sample_name_abbreviation,time_point,met_id,fragment_formula,C_pos,scan_type,theoretical,,,,,,,,,,,,,,measured,,,,,,,,,,,,,,measured_cv,,,,,,,,,,,,,,abs_difference,,,,,,,,,,,,,
,,,,,,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
OxicWtGlc,0,pep,C3H4O6P-,"[True, True, True]",EPI,1,0.035,0.013,0,,,,,,,,,,,1,0.036,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,-0.001,0.013,0,,,,,,,,,,
OxicWtGlc,0,Pool_2pg_3pg,C3H6O7P-,"[True, True, True]",EPI,1,0.036,0.015,0.001,,,,,,,,,,,1,0.194,0.036,0,,,,,,,,,,,0,186.223,180.895,0,,,,,,,,,,,0,-0.158,-0.021,0.001,,,,,,,,,,
OxicWtGlc,0,Pool_2pg_3pg,C2H6O5P-,"[False, True, True]",EPI,1,0.024,0.01,,,,,,,,,,,,0.909,0.356,0.063,,,,,,,,,,,,19.949,127.675,112.123,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,prpp,C5H12O14P3-,"[True, True, True, True, True]",EPI,1,0.061,0.03,0.002,0,0,,,,,,,,,1,0.06,0,0,0,0,,,,,,,,,0,0.779,0,0,0,0,,,,,,,,,0,0.001,0.03,0.002,0,0,,,,,,,,
OxicWtGlc,0,prpp,C5H9O10P2-,"[True, True, True, True, True]",EPI,1,0.059,0.022,0.001,0,0,,,,,,,,,1,0.047,0,0,0,0,,,,,,,,,0,38.556,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,pyr,C3H3O3-,"[True, True, True]",EPI,1,0.034,0.007,0,,,,,,,,,,,1,0.037,0,0,,,,,,,,,,,0,13.248,0,0,,,,,,,,,,,0,-0.004,0.007,0,,,,,,,,,,
OxicWtGlc,0,pyr,C2H3O,"[False, True, True]",EPI,1,0.022,0.002,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,r5p,C5H10O8P-,"[True, True, True, True, True]",EPI,1,0.058,0.018,0.001,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,1,0.058,0.018,0.001,0,0,,,,,,,,
OxicWtGlc,0,r5p,C2H4O5P-,"[False, False, False, True, True]",EPI,1,0.024,0.01,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,s7p,C7H14O10P-,"[True, True, True, True, True, True, True]",EPI,1,0.081,0.023,0.002,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0.081,0.023,0.002,0,0,0,0,,,,,,
OxicWtGlc,0,s7p,C7H9O5-,"[True, True, True, True, True, True, True]",EPI,1,0.079,0.013,0.001,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,s7p,C7H11O6-,"[True, True, True, True, True, True, True]",EPI,1,0.079,0.015,0.001,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,s7p,C5H9O4-,"[False, False, True, True, True, True, True]",EPI,1,0.057,0.01,0,0,0,,,,,,,,,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,s7p,C4H8O7P-,"[False, False, False, True, True, True, True]",EPI,1,0.047,0.015,0.001,0,,,,,,,,,,1,0.5,0.5,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,ser-L,C3H6NO3-,"[True, True, True]",EPI,1,0.038,0.007,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.038,0.007,0,,,,,,,,,,
OxicWtGlc,0,ser-L,C2H4NO2-,"[True, True, False]",EPI,1,0.027,0.004,,,,,,,,,,,,1,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,ser-L,C2H4N-,"[False, True, True]",EPI,1,0.026,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
