experiment_id,sample_name_short,time_point,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_
rpomut02,OxicRph-pyrE82_Broth-3,0,dump,dump.dump_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,dump,dump.dump_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,dump,dump.dump_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,dump,dump.dump_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,f1p,f1p.f1p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,f1p,f1p.f1p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,f1p,f1p.f1p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,f1p,f1p.f1p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,f6p,f6p.f6p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,f6p,f6p.f6p_1.Light,0.036203361,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,f6p,f6p.f6p_1.Light,0.16707084,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,f6p,f6p.f6p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,f6p,f6p.f6p_1.Light,0.074143267,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,f6p,f6p.f6p_1.Light,0.05931686,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,fad,fad.fad_1.Light,0.005717938,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,fad,fad.fad_1.Light,0.007184432,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,fad,fad.fad_1.Light,0.015802304,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,fad,fad.fad_1.Light,0.006661905,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,fad,fad.fad_1.Light,0.013566915,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,fad,fad.fad_1.Light,0.024043524,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,fdp,fdp.fdp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,fdp,fdp.fdp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,fdp,fdp.fdp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,fdp,fdp.fdp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,fdp,fdp.fdp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,fdp,fdp.fdp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,fum,fum.fum_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,fum,fum.fum_1.Light,0.050328863,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,fum,fum.fum_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,fum,fum.fum_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,fum,fum.fum_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,fum,fum.fum_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,g1p,g1p.g1p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,g1p,g1p.g1p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,g1p,g1p.g1p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,g1p,g1p.g1p_1.Light,,mM,t
