"id","experiment_id","sample_name","sample_id","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_","comment_"
39998,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-5","140503_0_OxicWTEcoliGlcM9_Broth-5","ade","ade.ade_1.Light",0.003090314,"mM",t,""
40084,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-6","140503_0_OxicWTEcoliGlcM9_Broth-6","ade","ade.ade_1.Light",0.002349472,"mM",t,""
38861,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-5-10.0x","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-5","ump","ump.ump_1.Light",0.265547886498034,"mM",f,""
38946,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-6-10.0x","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-6","s7p","s7p.s7p_1.Light",0.0530405916204297,"mM",f,""
38948,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-6-10.0x","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-6","ump","ump.ump_1.Light",0.0659492035140134,"mM",f,""
39125,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-1-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-1","s7p","s7p.s7p_1.Light",0.0352575672251526,"mM",f,""
39127,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-1-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-1","ump","ump.ump_1.Light",0.0566201668347296,"mM",f,""
39213,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-2-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-2","s7p","s7p.s7p_1.Light",0.0361831852926749,"mM",f,""
39215,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-2-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-2","ump","ump.ump_1.Light",0.0520172452038369,"mM",f,""
39301,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-3-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-3","s7p","s7p.s7p_1.Light",0.0273029038748137,"mM",f,""
39303,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-3-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-3","ump","ump.ump_1.Light",0.0484240760680576,"mM",f,""
39390,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-4-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-4","s7p","s7p.s7p_1.Light",0.0400430491777847,"mM",f,""
39392,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-4-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-4","ump","ump.ump_1.Light",0.0573959275778261,"mM",f,""
39477,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-5-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-5","s7p","s7p.s7p_1.Light",0.0291313919773272,"mM",f,""
39479,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-5-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-5","ump","ump.ump_1.Light",0.0639532627534336,"mM",f,""
